@relation PREVISAO-weka.filters.unsupervised.instance.RemovePercentage-P75.0

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute class numeric

@data
0.222135,0.24327,0.213402,0.262023,0.323252,0.302615,0.230585
0.223935,0.242696,0.212368,0.27513,0.324646,0.295996,0.216022
0.2269,0.239907,0.213517,0.288198,0.324332,0.288512,0.203949
0.231014,0.234767,0.218259,0.299849,0.322172,0.280308,0.196519
0.23584,0.228968,0.225345,0.309134,0.318365,0.270794,0.193991
0.24052,0.222449,0.235648,0.315821,0.313286,0.259257,0.197637
0.242604,0.216796,0.248625,0.320379,0.308552,0.245239,0.204968
0.24327,0.213402,0.262023,0.323252,0.302615,0.230585,0.215938
0.242696,0.212368,0.27513,0.324646,0.295996,0.216022,0.229114
0.239907,0.213517,0.288198,0.324332,0.288512,0.203949,0.242864
0.234767,0.218259,0.299849,0.322172,0.280308,0.196519,0.254853
0.228968,0.225345,0.309134,0.318365,0.270794,0.193991,0.265761
0.222449,0.235648,0.315821,0.313286,0.259257,0.197637,0.274448
0.216796,0.248625,0.320379,0.308552,0.245239,0.204968,0.282223
0.213402,0.262023,0.323252,0.302615,0.230585,0.215938,0.288727
0.212368,0.27513,0.324646,0.295996,0.216022,0.229114,0.294457
0.213517,0.288198,0.324332,0.288512,0.203949,0.242864,0.299742
0.218259,0.299849,0.322172,0.280308,0.196519,0.254853,0.30476
0.225345,0.309134,0.318365,0.270794,0.193991,0.265761,0.309149
0.235648,0.315821,0.313286,0.259257,0.197637,0.274448,0.313385
0.248625,0.320379,0.308552,0.245239,0.204968,0.282223,0.317223
0.262023,0.323252,0.302615,0.230585,0.215938,0.288727,0.32067
0.27513,0.324646,0.295996,0.216022,0.229114,0.294457,0.323834
0.288198,0.324332,0.288512,0.203949,0.242864,0.299742,0.325504
0.299849,0.322172,0.280308,0.196519,0.254853,0.30476,0.326477
0.309134,0.318365,0.270794,0.193991,0.265761,0.309149,0.326691
0.315821,0.313286,0.259257,0.197637,0.274448,0.313385,0.32568
0.320379,0.308552,0.245239,0.204968,0.282223,0.317223,0.324018
0.323252,0.302615,0.230585,0.215938,0.288727,0.32067,0.321697
0.324646,0.295996,0.216022,0.229114,0.294457,0.323834,0.318648
0.324332,0.288512,0.203949,0.242864,0.299742,0.325504,0.315936
0.322172,0.280308,0.196519,0.254853,0.30476,0.326477,0.31278
0.318365,0.270794,0.193991,0.265761,0.309149,0.326691,0.30931
0.313286,0.259257,0.197637,0.274448,0.313385,0.32568,0.305074
0.308552,0.245239,0.204968,0.282223,0.317223,0.324018,0.30001
0.302615,0.230585,0.215938,0.288727,0.32067,0.321697,0.293874
0.295996,0.216022,0.229114,0.294457,0.323834,0.318648,0.286429
0.288512,0.203949,0.242864,0.299742,0.325504,0.315936,0.277451
0.280308,0.196519,0.254853,0.30476,0.326477,0.31278,0.267201
0.270794,0.193991,0.265761,0.309149,0.326691,0.30931,0.255871
0.259257,0.197637,0.274448,0.313385,0.32568,0.305074,0.244565
0.245239,0.204968,0.282223,0.317223,0.324018,0.30001,0.233243
0.230585,0.215938,0.288727,0.32067,0.321697,0.293874,0.22261
0.216022,0.229114,0.294457,0.323834,0.318648,0.286429,0.21315
0.203949,0.242864,0.299742,0.325504,0.315936,0.277451,0.204915
0.196519,0.254853,0.30476,0.326477,0.31278,0.267201,0.19802
0.193991,0.265761,0.309149,0.326691,0.30931,0.255871,0.192597
0.197637,0.274448,0.313385,0.32568,0.305074,0.244565,0.188713
0.204968,0.282223,0.317223,0.324018,0.30001,0.233243,0.186216
0.215938,0.288727,0.32067,0.321697,0.293874,0.22261,0.184561
0.229114,0.294457,0.323834,0.318648,0.286429,0.21315,0.183136
0.242864,0.299742,0.325504,0.315936,0.277451,0.204915,0.181811
0.254853,0.30476,0.326477,0.31278,0.267201,0.19802,0.196036
0.265761,0.309149,0.326691,0.30931,0.255871,0.192597,0.205604
0.274448,0.313385,0.32568,0.305074,0.244565,0.188713,0.212966
0.282223,0.317223,0.324018,0.30001,0.233243,0.186216,0.213058
0.288727,0.32067,0.321697,0.293874,0.22261,0.184561,0.211786
0.294457,0.323834,0.318648,0.286429,0.21315,0.183136,0.210292
0.299742,0.325504,0.315936,0.277451,0.204915,0.181811,0.209411
0.30476,0.326477,0.31278,0.267201,0.19802,0.196036,0.193439
0.309149,0.326691,0.30931,0.255871,0.192597,0.205604,0.182531
0.313385,0.32568,0.305074,0.244565,0.188713,0.212966,0.174089
0.317223,0.324018,0.30001,0.233243,0.186216,0.213058,0.17317
0.32067,0.321697,0.293874,0.22261,0.184561,0.211786,0.174059
0.323834,0.318648,0.286429,0.21315,0.183136,0.210292,0.175476
0.325504,0.315936,0.277451,0.204915,0.181811,0.209411,0.176587
0.326477,0.31278,0.267201,0.19802,0.196036,0.193439,0.17733
0.326691,0.30931,0.255871,0.192597,0.205604,0.182531,0.177475
0.32568,0.305074,0.244565,0.188713,0.212966,0.174089,0.17651
0.324018,0.30001,0.233243,0.186216,0.213058,0.17317,0.174649
0.321697,0.293874,0.22261,0.184561,0.211786,0.174059,0.171983
0.318648,0.286429,0.21315,0.183136,0.210292,0.175476,0.169018
0.315936,0.277451,0.204915,0.181811,0.209411,0.176587,0.165916
0.31278,0.267201,0.19802,0.196036,0.193439,0.17733,0.162852
0.30931,0.255871,0.192597,0.205604,0.182531,0.177475,0.160117
0.305074,0.244565,0.188713,0.212966,0.174089,0.17651,0.158072
0.30001,0.233243,0.186216,0.213058,0.17317,0.174649,0.156425
0.293874,0.22261,0.184561,0.211786,0.174059,0.171983,0.155
0.286429,0.21315,0.183136,0.210292,0.175476,0.169018,0.153789
0.277451,0.204915,0.181811,0.209411,0.176587,0.165916,0.152571
0.267201,0.19802,0.196036,0.193439,0.17733,0.162852,0.151269
0.255871,0.192597,0.205604,0.182531,0.177475,0.160117,0.149676
0.244565,0.188713,0.212966,0.174089,0.17651,0.158072,0.147914
0.233243,0.186216,0.213058,0.17317,0.174649,0.156425,0.146259
0.22261,0.184561,0.211786,0.174059,0.171983,0.155,0.144865
0.21315,0.183136,0.210292,0.175476,0.169018,0.153789,0.143793
0.204915,0.181811,0.209411,0.176587,0.165916,0.152571,0.143302
0.19802,0.196036,0.193439,0.17733,0.162852,0.151269,0.143456
0.192597,0.205604,0.182531,0.177475,0.160117,0.149676,0.144176
0.188713,0.212966,0.174089,0.17651,0.158072,0.147914,0.145424
0.186216,0.213058,0.17317,0.174649,0.156425,0.146259,0.147048
0.184561,0.211786,0.174059,0.171983,0.155,0.144865,0.148879
0.183136,0.210292,0.175476,0.169018,0.153789,0.143793,0.150503
0.181811,0.209411,0.176587,0.165916,0.152571,0.143302,0.151691
0.196036,0.193439,0.17733,0.162852,0.151269,0.143456,0.152326
0.205604,0.182531,0.177475,0.160117,0.149676,0.144176,0.152288
0.212966,0.174089,0.17651,0.158072,0.147914,0.145424,0.151491
0.213058,0.17317,0.174649,0.156425,0.146259,0.147048,0.149944
0.211786,0.174059,0.171983,0.155,0.144865,0.148879,0.14786
0.210292,0.175476,0.169018,0.153789,0.143793,0.150503,0.145532
0.209411,0.176587,0.165916,0.152571,0.143302,0.151691,0.143119
0.193439,0.17733,0.162852,0.151269,0.143456,0.152326,0.140843
0.182531,0.177475,0.160117,0.149676,0.144176,0.152288,0.138997
0.174089,0.17651,0.158072,0.147914,0.145424,0.151491,0.137741
0.17317,0.174649,0.156425,0.146259,0.147048,0.149944,0.137044
0.174059,0.171983,0.155,0.144865,0.148879,0.14786,0.136722
0.175476,0.169018,0.153789,0.143793,0.150503,0.145532,0.136692
0.176587,0.165916,0.152571,0.143302,0.151691,0.143119,0.13699
0.17733,0.162852,0.151269,0.143456,0.152326,0.140843,0.137511
0.177475,0.160117,0.149676,0.144176,0.152288,0.138997,0.138032
0.17651,0.158072,0.147914,0.145424,0.151491,0.137741,0.138446
0.174649,0.156425,0.146259,0.147048,0.149944,0.137044,0.138813
0.171983,0.155,0.144865,0.148879,0.14786,0.136722,0.139089
0.169018,0.153789,0.143793,0.150503,0.145532,0.136692,0.139342
0.165916,0.152571,0.143302,0.151691,0.143119,0.13699,0.139518
0.162852,0.151269,0.143456,0.152326,0.140843,0.137511,0.139518
0.160117,0.149676,0.144176,0.152288,0.138997,0.138032,0.139242
0.158072,0.147914,0.145424,0.151491,0.137741,0.138446,0.13876
0.156425,0.146259,0.147048,0.149944,0.137044,0.138813,0.138109
0.155,0.144865,0.148879,0.14786,0.136722,0.139089,0.137496
0.153789,0.143793,0.150503,0.145532,0.136692,0.139342,0.136914
0.152571,0.143302,0.151691,0.143119,0.13699,0.139518,0.136339
0.151269,0.143456,0.152326,0.140843,0.137511,0.139518,0.13588
0.149676,0.144176,0.152288,0.138997,0.138032,0.139242,0.135703
0.147914,0.145424,0.151491,0.137741,0.138446,0.13876,0.135696
0.146259,0.147048,0.149944,0.137044,0.138813,0.138109,0.135734
0.144865,0.148879,0.14786,0.136722,0.139089,0.137496,0.135788
0.143793,0.150503,0.145532,0.136692,0.139342,0.136914,0.135803
0.143302,0.151691,0.143119,0.13699,0.139518,0.136339,0.135811
0.143456,0.152326,0.140843,0.137511,0.139518,0.13588,0.135826
0.144176,0.152288,0.138997,0.138032,0.139242,0.135703,0.135795
0.145424,0.151491,0.137741,0.138446,0.13876,0.135696,0.135719
0.147048,0.149944,0.137044,0.138813,0.138109,0.135734,0.135634
0.148879,0.14786,0.136722,0.139089,0.137496,0.135788,0.135512
0.150503,0.145532,0.136692,0.139342,0.136914,0.135803,0.135405
0.151691,0.143119,0.13699,0.139518,0.136339,0.135811,0.135328
0.152326,0.140843,0.137511,0.139518,0.13588,0.135826,0.135313
0.152288,0.138997,0.138032,0.139242,0.135703,0.135795,0.135336
0.151491,0.137741,0.138446,0.13876,0.135696,0.135719,0.135374
0.149944,0.137044,0.138813,0.138109,0.135734,0.135634,0.135374
0.14786,0.136722,0.139089,0.137496,0.135788,0.135512,0.135313
0.145532,0.136692,0.139342,0.136914,0.135803,0.135405,0.135182
0.143119,0.13699,0.139518,0.136339,0.135811,0.135328,0.135022
0.140843,0.137511,0.139518,0.13588,0.135826,0.135313,0.13483
0.138997,0.138032,0.139242,0.135703,0.135795,0.135336,0.134639
0.137741,0.138446,0.13876,0.135696,0.135719,0.135374,0.134056
0.137044,0.138813,0.138109,0.135734,0.135634,0.135374,0.133283
0.136722,0.139089,0.137496,0.135788,0.135512,0.135313,0.132356
0.136692,0.139342,0.136914,0.135803,0.135405,0.135182,0.131375
0.13699,0.139518,0.136339,0.135811,0.135328,0.135022,0.130441
0.137511,0.139518,0.13588,0.135826,0.135313,0.13483,0.129575
0.138032,0.139242,0.135703,0.135795,0.135336,0.134639,0.128725
0.138446,0.13876,0.135696,0.135719,0.135374,0.134056,0.128235
