@relation PREVISAO-weka.filters.unsupervised.instance.RemovePercentage-P75.0-V

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute class numeric

@data
0.209595,0.276102,0.233089,0.276861,0.315201,0.333057,0.324692
0.222105,0.274333,0.228432,0.289347,0.317016,0.333785,0.325987
0.235403,0.270418,0.227651,0.299336,0.319092,0.332996,0.328944
0.248893,0.264803,0.230945,0.306154,0.321812,0.331119,0.332981
0.261448,0.257204,0.238812,0.310137,0.324945,0.328522,0.337967
0.270388,0.248701,0.250302,0.312137,0.328177,0.326109,0.342602
0.274953,0.240428,0.263218,0.313745,0.331035,0.324715,0.346524
0.276102,0.233089,0.276861,0.315201,0.333057,0.324692,0.349695
0.274333,0.228432,0.289347,0.317016,0.333785,0.325987,0.352101
0.270418,0.227651,0.299336,0.319092,0.332996,0.328944,0.353166
0.264803,0.230945,0.306154,0.321812,0.331119,0.332981,0.352897
0.257204,0.238812,0.310137,0.324945,0.328522,0.337967,0.351396
0.248701,0.250302,0.312137,0.328177,0.326109,0.342602,0.348692
0.240428,0.263218,0.313745,0.331035,0.324715,0.346524,0.345858
0.233089,0.276861,0.315201,0.333057,0.324692,0.349695,0.343039
0.228432,0.289347,0.317016,0.333785,0.325987,0.352101,0.34012
0.227651,0.299336,0.319092,0.332996,0.328944,0.353166,0.338006
0.230945,0.306154,0.321812,0.331119,0.332981,0.352897,0.337155
0.238812,0.310137,0.324945,0.328522,0.337967,0.351396,0.337224
0.250302,0.312137,0.328177,0.326109,0.342602,0.348692,0.338687
0.263218,0.313745,0.331035,0.324715,0.346524,0.345858,0.340273
0.276861,0.315201,0.333057,0.324692,0.349695,0.343039,0.341468
0.289347,0.317016,0.333785,0.325987,0.352101,0.34012,0.343307
0.299336,0.319092,0.332996,0.328944,0.353166,0.338006,0.345046
0.306154,0.321812,0.331119,0.332981,0.352897,0.337155,0.346195
0.310137,0.324945,0.328522,0.337967,0.351396,0.337224,0.347091
0.312137,0.328177,0.326109,0.342602,0.348692,0.338687,0.347619
0.313745,0.331035,0.324715,0.346524,0.345858,0.340273,0.348117
0.315201,0.333057,0.324692,0.349695,0.343039,0.341468,0.34883
0.317016,0.333785,0.325987,0.352101,0.34012,0.343307,0.349351
0.319092,0.332996,0.328944,0.353166,0.338006,0.345046,0.349956
0.321812,0.331119,0.332981,0.352897,0.337155,0.346195,0.350959
0.324945,0.328522,0.337967,0.351396,0.337224,0.347091,0.352024
0.328177,0.326109,0.342602,0.348692,0.338687,0.347619,0.353403
0.331035,0.324715,0.346524,0.345858,0.340273,0.348117,0.354935
0.333057,0.324692,0.349695,0.343039,0.341468,0.34883,0.356528
0.333785,0.325987,0.352101,0.34012,0.343307,0.349351,0.358497
0.332996,0.328944,0.353166,0.338006,0.345046,0.349956,0.360573
0.331119,0.332981,0.352897,0.337155,0.346195,0.350959,0.363063
0.328522,0.337967,0.351396,0.337224,0.347091,0.352024,0.365958
0.326109,0.342602,0.348692,0.338687,0.347619,0.353403,0.369122
0.324715,0.346524,0.345858,0.340273,0.348117,0.354935,0.372209
0.324692,0.349695,0.343039,0.341468,0.34883,0.356528,0.375572
0.325987,0.352101,0.34012,0.343307,0.349351,0.358497,0.37859
0.328944,0.353166,0.338006,0.345046,0.349956,0.360573,0.381777
0.332981,0.352897,0.337155,0.346195,0.350959,0.363063,0.384466
0.337967,0.351396,0.337224,0.347091,0.352024,0.365958,0.386932
0.342602,0.348692,0.338687,0.347619,0.353403,0.369122,0.388802
0.346524,0.345858,0.340273,0.348117,0.354935,0.372209,0.389667
0.349695,0.343039,0.341468,0.34883,0.356528,0.375572,0.389315
0.352101,0.34012,0.343307,0.349351,0.358497,0.37859,0.387538
0.353166,0.338006,0.345046,0.349956,0.360573,0.381777,0.383332
0.352897,0.337155,0.346195,0.350959,0.363063,0.384466,0.376706
0.351396,0.337224,0.347091,0.352024,0.365958,0.386932,0.367896
0.348692,0.338687,0.347619,0.353403,0.369122,0.388802,0.357938
0.345858,0.340273,0.348117,0.354935,0.372209,0.389667,0.348255
0.343039,0.341468,0.34883,0.356528,0.375572,0.389315,0.339078
0.34012,0.343307,0.349351,0.358497,0.37859,0.387538,0.331165
0.338006,0.345046,0.349956,0.360573,0.381777,0.383332,0.325611
0.337155,0.346195,0.350959,0.363063,0.384466,0.376706,0.322425
0.337224,0.347091,0.352024,0.365958,0.386932,0.367896,0.321444
0.338687,0.347619,0.353403,0.369122,0.388802,0.357938,0.321421
0.340273,0.348117,0.354935,0.372209,0.389667,0.348255,0.321551
0.341468,0.34883,0.356528,0.375572,0.389315,0.339078,0.321398
0.343307,0.349351,0.358497,0.37859,0.387538,0.331165,0.320525
0.345046,0.349956,0.360573,0.381777,0.383332,0.325611,0.318962
0.346195,0.350959,0.363063,0.384466,0.376706,0.322425,0.316832
0.347091,0.352024,0.365958,0.386932,0.367896,0.321444,0.314358
0.347619,0.353403,0.369122,0.388802,0.357938,0.321421,0.311846
0.348117,0.354935,0.372209,0.389667,0.348255,0.321551,0.30954
0.34883,0.356528,0.375572,0.389315,0.339078,0.321398,0.307403
0.349351,0.358497,0.37859,0.387538,0.331165,0.320525,0.305449
0.349956,0.360573,0.381777,0.383332,0.325611,0.318962,0.302983
0.350959,0.363063,0.384466,0.376706,0.322425,0.316832,0.300079
0.352024,0.365958,0.386932,0.367896,0.321444,0.314358,0.296387
0.353403,0.369122,0.388802,0.357938,0.321421,0.311846,0.292082
0.354935,0.372209,0.389667,0.348255,0.321551,0.30954,0.286796
0.356528,0.375572,0.389315,0.339078,0.321398,0.307403,0.280576
0.358497,0.37859,0.387538,0.331165,0.320525,0.305449,0.273774
0.360573,0.381777,0.383332,0.325611,0.318962,0.302983,0.266642
0.363063,0.384466,0.376706,0.322425,0.316832,0.300079,0.259395
0.365958,0.386932,0.367896,0.321444,0.314358,0.296387,0.251796
0.369122,0.388802,0.357938,0.321421,0.311846,0.292082,0.244174
0.372209,0.389667,0.348255,0.321551,0.30954,0.286796,0.236828
0.375572,0.389315,0.339078,0.321398,0.307403,0.280576,0.230255
0.37859,0.387538,0.331165,0.320525,0.305449,0.273774,0.224249
0.381777,0.383332,0.325611,0.318962,0.302983,0.266642,0.218696
0.384466,0.376706,0.322425,0.316832,0.300079,0.259395,0.213716
0.386932,0.367896,0.321444,0.314358,0.296387,0.251796,0.209373
0.388802,0.357938,0.321421,0.311846,0.292082,0.244174,0.205489
0.389667,0.348255,0.321551,0.30954,0.286796,0.236828,0.20205
0.389315,0.339078,0.321398,0.307403,0.280576,0.230255,0.198832
0.387538,0.331165,0.320525,0.305449,0.273774,0.224249,0.195891
0.383332,0.325611,0.318962,0.302983,0.266642,0.218696,0.193164
0.376706,0.322425,0.316832,0.300079,0.259395,0.213716,0.190643
0.367896,0.321444,0.314358,0.296387,0.251796,0.209373,0.188315
0.357938,0.321421,0.311846,0.292082,0.244174,0.205489,0.186262
0.348255,0.321551,0.30954,0.286796,0.236828,0.20205,0.184132
0.339078,0.321398,0.307403,0.280576,0.230255,0.198832,0.182072
0.331165,0.320525,0.305449,0.273774,0.224249,0.195891,0.179934
0.325611,0.318962,0.302983,0.266642,0.218696,0.193164,0.178379
0.322425,0.316832,0.300079,0.259395,0.213716,0.190643,0.177337
0.321444,0.314358,0.296387,0.251796,0.209373,0.188315,0.177092
0.321421,0.311846,0.292082,0.244174,0.205489,0.186262,0.177989
0.321551,0.30954,0.286796,0.236828,0.20205,0.184132,0.180195
0.321398,0.307403,0.280576,0.230255,0.198832,0.182072,0.183297
0.320525,0.305449,0.273774,0.224249,0.195891,0.179934,0.187304
0.318962,0.302983,0.266642,0.218696,0.193164,0.178379,0.191747
0.316832,0.300079,0.259395,0.213716,0.190643,0.177337,0.196052
0.314358,0.296387,0.251796,0.209373,0.188315,0.177092,0.200158
0.311846,0.292082,0.244174,0.205489,0.186262,0.177989,0.202747
0.30954,0.286796,0.236828,0.20205,0.184132,0.180195,0.204087
0.307403,0.280576,0.230255,0.198832,0.182072,0.183297,0.204363
0.305449,0.273774,0.224249,0.195891,0.179934,0.187304,0.203727
0.302983,0.266642,0.218696,0.193164,0.178379,0.191747,0.202272
0.300079,0.259395,0.213716,0.190643,0.177337,0.196052,0.200311
0.296387,0.251796,0.209373,0.188315,0.177092,0.200158,0.19802
0.292082,0.244174,0.205489,0.186262,0.177989,0.202747,0.195921
0.286796,0.236828,0.20205,0.184132,0.180195,0.204087,0.193822
0.280576,0.230255,0.198832,0.182072,0.183297,0.204363,0.191425
0.273774,0.224249,0.195891,0.179934,0.187304,0.203727,0.188736
0.266642,0.218696,0.193164,0.178379,0.191747,0.202272,0.186047
0.259395,0.213716,0.190643,0.177337,0.196052,0.200311,0.183358
0.251796,0.209373,0.188315,0.177092,0.200158,0.19802,0.180478
0.244174,0.205489,0.186262,0.177989,0.202747,0.195921,0.177606
0.236828,0.20205,0.184132,0.180195,0.204087,0.193822,0.174924
0.230255,0.198832,0.182072,0.183297,0.204363,0.191425,0.172734
0.224249,0.195891,0.179934,0.187304,0.203727,0.188736,0.171117
0.218696,0.193164,0.178379,0.191747,0.202272,0.186047,0.169493
0.213716,0.190643,0.177337,0.196052,0.200311,0.183358,0.168137
0.209373,0.188315,0.177092,0.200158,0.19802,0.180478,0.166873
0.205489,0.186262,0.177989,0.202747,0.195921,0.177606,0.165893
0.20205,0.184132,0.180195,0.204087,0.193822,0.174924,0.165012
0.198832,0.182072,0.183297,0.204363,0.191425,0.172734,0.164223
0.195891,0.179934,0.187304,0.203727,0.188736,0.171117,0.163365
0.193164,0.178379,0.191747,0.202272,0.186047,0.169493,0.162714
0.190643,0.177337,0.196052,0.200311,0.183358,0.168137,0.162001
0.188315,0.177092,0.200158,0.19802,0.180478,0.166873,0.161488
0.186262,0.177989,0.202747,0.195921,0.177606,0.165893,0.160898
0.184132,0.180195,0.204087,0.193822,0.174924,0.165012,0.160301
0.182072,0.183297,0.204363,0.191425,0.172734,0.164223,0.159788
0.179934,0.187304,0.203727,0.188736,0.171117,0.163365,0.159351
0.178379,0.191747,0.202272,0.186047,0.169493,0.162714,0.158999
0.177337,0.196052,0.200311,0.183358,0.168137,0.162001,0.1587
0.177092,0.200158,0.19802,0.180478,0.166873,0.161488,0.158455
0.177989,0.202747,0.195921,0.177606,0.165893,0.160898,0.158355
0.180195,0.204087,0.193822,0.174924,0.165012,0.160301,0.15824
0.183297,0.204363,0.191425,0.172734,0.164223,0.159788,0.158095
0.187304,0.203727,0.188736,0.171117,0.163365,0.159351,0.157911
0.191747,0.202272,0.186047,0.169493,0.162714,0.158999,0.157689
0.196052,0.200311,0.183358,0.168137,0.162001,0.1587,0.157474
0.200158,0.19802,0.180478,0.166873,0.161488,0.158455,0.15729
0.202747,0.195921,0.177606,0.165893,0.160898,0.158355,0.15703
0.204087,0.193822,0.174924,0.165012,0.160301,0.15824,0.156869
0.204363,0.191425,0.172734,0.164223,0.159788,0.158095,0.156624
