@RELATION DADOS_DE_TESTE

@attribute x1 numeric

@attribute x2 numeric

@attribute x3 numeric

@attribute x4 numeric

@attribute x5 numeric

@attribute x6 numeric

@attribute class {0,1,2,3}



@data

0.222135,0.24327,0.213402,0.262023,0.323252,0.302615,2
0.223935,0.242696,0.212368,0.27513,0.324646,0.295996,2
0.2269,0.239907,0.213517,0.288198,0.324332,0.288512,2
0.231014,0.234767,0.218259,0.299849,0.322172,0.280308,1
0.23584,0.228968,0.225345,0.309134,0.318365,0.270794,1
0.24052,0.222449,0.235648,0.315821,0.313286,0.259257,1
0.242604,0.216796,0.248625,0.320379,0.308552,0.245239,2
0.24327,0.213402,0.262023,0.323252,0.302615,0.230585,2
0.242696,0.212368,0.27513,0.324646,0.295996,0.216022,2
0.239907,0.213517,0.288198,0.324332,0.288512,0.203949,2
0.234767,0.218259,0.299849,0.322172,0.280308,0.196519,2
0.228968,0.225345,0.309134,0.318365,0.270794,0.193991,2
0.222449,0.235648,0.315821,0.313286,0.259257,0.197637,3
0.216796,0.248625,0.320379,0.308552,0.245239,0.204968,3
0.213402,0.262023,0.323252,0.302615,0.230585,0.215938,3
0.212368,0.27513,0.324646,0.295996,0.216022,0.229114,3
0.213517,0.288198,0.324332,0.288512,0.203949,0.242864,3
0.218259,0.299849,0.322172,0.280308,0.196519,0.254853,3
0.225345,0.309134,0.318365,0.270794,0.193991,0.265761,3
0.235648,0.315821,0.313286,0.259257,0.197637,0.274448,3
0.248625,0.320379,0.308552,0.245239,0.204968,0.282223,3
0.262023,0.323252,0.302615,0.230585,0.215938,0.288727,3
0.27513,0.324646,0.295996,0.216022,0.229114,0.294457,3
0.288198,0.324332,0.288512,0.203949,0.242864,0.299742,3
0.299849,0.322172,0.280308,0.196519,0.254853,0.30476,3
0.309134,0.318365,0.270794,0.193991,0.265761,0.309149,3
0.315821,0.313286,0.259257,0.197637,0.274448,0.313385,3
0.320379,0.308552,0.245239,0.204968,0.282223,0.317223,3
0.323252,0.302615,0.230585,0.215938,0.288727,0.32067,3
0.324646,0.295996,0.216022,0.229114,0.294457,0.323834,3
0.324332,0.288512,0.203949,0.242864,0.299742,0.325504,3
0.322172,0.280308,0.196519,0.254853,0.30476,0.326477,3
0.318365,0.270794,0.193991,0.265761,0.309149,0.326691,3
0.313286,0.259257,0.197637,0.274448,0.313385,0.32568,3
0.308552,0.245239,0.204968,0.282223,0.317223,0.324018,3
0.302615,0.230585,0.215938,0.288727,0.32067,0.321697,3
0.295996,0.216022,0.229114,0.294457,0.323834,0.318648,3
0.288512,0.203949,0.242864,0.299742,0.325504,0.315936,3
0.280308,0.196519,0.254853,0.30476,0.326477,0.31278,2
0.270794,0.193991,0.265761,0.309149,0.326691,0.30931,2
0.259257,0.197637,0.274448,0.313385,0.32568,0.305074,2
0.245239,0.204968,0.282223,0.317223,0.324018,0.30001,2
0.230585,0.215938,0.288727,0.32067,0.321697,0.293874,2
0.216022,0.229114,0.294457,0.323834,0.318648,0.286429,2
0.203949,0.242864,0.299742,0.325504,0.315936,0.277451,2
0.196519,0.254853,0.30476,0.326477,0.31278,0.267201,1
0.193991,0.265761,0.309149,0.326691,0.30931,0.255871,1
0.197637,0.274448,0.313385,0.32568,0.305074,0.244565,1
0.204968,0.282223,0.317223,0.324018,0.30001,0.233243,1
0.215938,0.288727,0.32067,0.321697,0.293874,0.22261,1
0.229114,0.294457,0.323834,0.318648,0.286429,0.21315,1
0.242864,0.299742,0.325504,0.315936,0.277451,0.204915,1
0.254853,0.30476,0.326477,0.31278,0.267201,0.19802,1
0.265761,0.309149,0.326691,0.30931,0.255871,0.192597,2
0.274448,0.313385,0.32568,0.305074,0.244565,0.188713,2
0.282223,0.317223,0.324018,0.30001,0.233243,0.186216,2
0.288727,0.32067,0.321697,0.293874,0.22261,0.184561,2
0.294457,0.323834,0.318648,0.286429,0.21315,0.183136,2
0.299742,0.325504,0.315936,0.277451,0.204915,0.181811,2
0.30476,0.326477,0.31278,0.267201,0.19802,0.196036,1
0.309149,0.326691,0.30931,0.255871,0.192597,0.205604,1
0.313385,0.32568,0.305074,0.244565,0.188713,0.212966,1
0.317223,0.324018,0.30001,0.233243,0.186216,0.213058,1
0.32067,0.321697,0.293874,0.22261,0.184561,0.211786,1
0.323834,0.318648,0.286429,0.21315,0.183136,0.210292,1
0.325504,0.315936,0.277451,0.204915,0.181811,0.209411,1
0.326477,0.31278,0.267201,0.19802,0.196036,0.193439,1
0.326691,0.30931,0.255871,0.192597,0.205604,0.182531,1
0.32568,0.305074,0.244565,0.188713,0.212966,0.174089,1
0.324018,0.30001,0.233243,0.186216,0.213058,0.17317,1
0.321697,0.293874,0.22261,0.184561,0.211786,0.174059,1
0.318648,0.286429,0.21315,0.183136,0.210292,0.175476,1
0.315936,0.277451,0.204915,0.181811,0.209411,0.176587,1
0.31278,0.267201,0.19802,0.196036,0.193439,0.17733,1
0.30931,0.255871,0.192597,0.205604,0.182531,0.177475,1
0.305074,0.244565,0.188713,0.212966,0.174089,0.17651,1
0.30001,0.233243,0.186216,0.213058,0.17317,0.174649,1
0.293874,0.22261,0.184561,0.211786,0.174059,0.171983,1
0.286429,0.21315,0.183136,0.210292,0.175476,0.169018,1
0.277451,0.204915,0.181811,0.209411,0.176587,0.165916,1
0.267201,0.19802,0.196036,0.193439,0.17733,0.162852,1
0.255871,0.192597,0.205604,0.182531,0.177475,0.160117,1
0.244565,0.188713,0.212966,0.174089,0.17651,0.158072,1
0.233243,0.186216,0.213058,0.17317,0.174649,0.156425,1
0.22261,0.184561,0.211786,0.174059,0.171983,0.155,1
0.21315,0.183136,0.210292,0.175476,0.169018,0.153789,1
0.204915,0.181811,0.209411,0.176587,0.165916,0.152571,1
0.19802,0.196036,0.193439,0.17733,0.162852,0.151269,1
0.192597,0.205604,0.182531,0.177475,0.160117,0.149676,1
0.188713,0.212966,0.174089,0.17651,0.158072,0.147914,1
0.186216,0.213058,0.17317,0.174649,0.156425,0.146259,1
0.184561,0.211786,0.174059,0.171983,0.155,0.144865,1
0.183136,0.210292,0.175476,0.169018,0.153789,0.143793,1
0.181811,0.209411,0.176587,0.165916,0.152571,0.143302,1
0.196036,0.193439,0.17733,0.162852,0.151269,0.143456,1
0.205604,0.182531,0.177475,0.160117,0.149676,0.144176,1
0.212966,0.174089,0.17651,0.158072,0.147914,0.145424,1
0.213058,0.17317,0.174649,0.156425,0.146259,0.147048,1
0.211786,0.174059,0.171983,0.155,0.144865,0.148879,1
0.210292,0.175476,0.169018,0.153789,0.143793,0.150503,1
0.209411,0.176587,0.165916,0.152571,0.143302,0.151691,1
0.193439,0.17733,0.162852,0.151269,0.143456,0.152326,1
0.182531,0.177475,0.160117,0.149676,0.144176,0.152288,1
0.174089,0.17651,0.158072,0.147914,0.145424,0.151491,1
0.17317,0.174649,0.156425,0.146259,0.147048,0.149944,1
0.174059,0.171983,0.155,0.144865,0.148879,0.14786,1
0.175476,0.169018,0.153789,0.143793,0.150503,0.145532,1
0.176587,0.165916,0.152571,0.143302,0.151691,0.143119,1
0.17733,0.162852,0.151269,0.143456,0.152326,0.140843,1
0.177475,0.160117,0.149676,0.144176,0.152288,0.138997,1
0.17651,0.158072,0.147914,0.145424,0.151491,0.137741,1
0.174649,0.156425,0.146259,0.147048,0.149944,0.137044,1
0.171983,0.155,0.144865,0.148879,0.14786,0.136722,1
0.169018,0.153789,0.143793,0.150503,0.145532,0.136692,1
0.165916,0.152571,0.143302,0.151691,0.143119,0.13699,1
0.162852,0.151269,0.143456,0.152326,0.140843,0.137511,1
0.160117,0.149676,0.144176,0.152288,0.138997,0.138032,1
0.158072,0.147914,0.145424,0.151491,0.137741,0.138446,1
0.156425,0.146259,0.147048,0.149944,0.137044,0.138813,1
0.155,0.144865,0.148879,0.14786,0.136722,0.139089,1
0.153789,0.143793,0.150503,0.145532,0.136692,0.139342,1
0.152571,0.143302,0.151691,0.143119,0.13699,0.139518,1
0.151269,0.143456,0.152326,0.140843,0.137511,0.139518,1
0.149676,0.144176,0.152288,0.138997,0.138032,0.139242,1
0.147914,0.145424,0.151491,0.137741,0.138446,0.13876,1
0.146259,0.147048,0.149944,0.137044,0.138813,0.138109,1
